url_length,n_dots,n_hypens,n_underline,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hastag,n_dollar,n_percent,n_redirection,domain_length,subdomain_length,subdomain_count,is_ip_address,suspicious_tld,domain_has_digits,tld_length,hostname_length,has_port,subdomain_numeric_ratio,subdomain_is_numeric_only,subdomain_entropy,long_numeric_subdomain,random_numeric_subdomain,very_long_numeric_subdomain,multiple_subdomains,brand_in_subdomain,brand_in_domain,brand_in_path,brand_spoofing_pattern,suspicious_keyword_count,has_suspicious_keyword,is_pure_brand_domain,brand_and_suspicious,is_url_shortener,long_subdomain,suspicious_path,has_php_extension,path_depth,long_query_string,has_multiple_dashes,url_entropy,domain_entropy,hostname_entropy,high_entropy_hostname,domain_consonant_ratio,is_https,is_http,has_query_params,no_protocol,original_url,phishing
31.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,1.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9535656649464275,3.452819531114783,3.6572682296173893,0.0,0.625,0.0,1.0,0.0,0.0,http://www.southbankmosaics.com,1
32.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,1.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9292292966721747,3.452819531114783,3.6572682296173893,0.0,0.625,1.0,0.0,0.0,0.0,https://www.southbankmosaics.com,1
23.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8820451081368623,2.725480556997868,3.327819531114783,0.0,0.5,0.0,1.0,0.0,0.0,http://www.uni-mainz.de,1
24.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.970175521464345,2.725480556997868,3.327819531114783,0.0,0.5,1.0,0.0,0.0,0.0,https://www.uni-mainz.de,1
29.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090234012145144,3.2516291673878226,3.629219686524097,0.0,0.5,0.0,1.0,0.0,0.0,http://www.voicefmradio.co.uk,1
30.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.164735178725505,3.2516291673878226,3.629219686524097,0.0,0.5,1.0,0.0,0.0,0.0,https://www.voicefmradio.co.uk,1
26.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056020968057882,3.2776134368191157,3.5766176449086657,0.0,0.7272727272727273,0.0,1.0,0.0,0.0,http://www.sfnmjournal.com,1
27.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.060262039120377,3.2776134368191157,3.5766176449086657,0.0,0.7272727272727273,1.0,0.0,0.0,0.0,https://www.sfnmjournal.com,1
33.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8391081341821707,3.197159723424149,3.4304570255005586,0.0,0.6111111111111112,0.0,1.0,0.0,0.0,http://www.rewildingargentina.org,1
34.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9176264438733583,3.197159723424149,3.4304570255005586,0.0,0.6111111111111112,1.0,0.0,0.0,0.0,https://www.rewildingargentina.org,1
